Al Pacino,nm0000199,Once Upon a Time... In Hollywood,2019,569358,7.6,tt7131622

Bill Paxton,nm0000200,The Circle,2017,85722,5.4,tt4287320

Michelle Pfeiffer,nm0000201,French Exit,2020,498,6.5,tt10279362

Ryan Phillippe,nm0000202,The 2nd,2020,4288,3.8,tt11697484

River Phoenix,nm0000203,Dark Blood,2012,1182,6.4,tt0293069

Natalie Portman,nm0000204,Avengers: Endgame,2019,849079,8.4,tt4154796

Parker Posey,nm0000205,Elsewhere,2019,642,5.9,tt7364522

Keanu Reeves,nm0000206,Bill & Ted Face the Music,2020,31080,6.1,tt1086064

Christina Ricci,nm0000207,10 Things We Should Do Before We Break Up,2020,797,4.7,tt7939428

Molly Ringwald,nm0000208,The Kissing Booth 2,2020,21771,5.8,tt9784456

Tim Robbins,nm0000209,Dark Waters,2019,65292,7.6,tt9071322

Julia Roberts,nm0000210,Ben Is Back,2018,18988,6.7,tt7545524

Mimi Rogers,nm0000211,What Still Remains,2018,1754,4.7,tt6013156

Meg Ryan,nm0000212,Ithaca,2015,2528,5.5,tt3501590

Winona Ryder,nm0000213,Destination Wedding,2018,25357,6,tt6987770

Mia Sara,nm0000214,Dorothy and the Witches of Oz,2012,415,4.5,tt2342071

Susan Sarandon,nm0000215,Fearless,2020,1186,4.9,tt8675288

Arnold Schwarzenegger,nm0000216,Terminator: Dark Fate,2019,153556,6.2,tt6450804

Martin Scorsese,nm0000217,Campus Code,2015,376,2.9,tt2639514

Kristin Scott Thomas,nm0000218,Rebecca,2020,32535,6,tt2235695

Steven Seagal,nm0000219,General Commander,2019,1028,3.3,tt7043534

Joan Severance,nm0000220,Accidentally Engaged,2016,1956,5.8,tt4742556

Charlie Sheen,nm0000221,Grizzly II: The Concert,2020,449,3.6,tt0093119

Brooke Shields,nm0000222,My Boyfriend's Meds,2020,347,4.4,tt8976664

Elisabeth Shue,nm0000223,Greyhound,2020,72827,7,tt6048922

Alicia Silverstone,nm0000224,Valley Girl,2020,2500,5.4,tt1266036

Christian Slater,nm0000225,We Can Be Heroes,2020,10953,4.7,tt10600398

Will Smith,nm0000226,Bad Boys for Life,2020,134317,6.6,tt1502397

Mira Sorvino,nm0000227,Stuber,2019,41412,6.2,tt7734218

Kevin Spacey,nm0000228,Billionaire Boys Club,2018,11455,5.6,tt5179598

Steven Spielberg,nm0000229,Paul,2011,236934,7,tt1092026

Sylvester Stallone,nm0000230,Rambo: Last Blood,2019,84163,6.1,tt1206885

Oliver Stone,nm0000231,Greystone Park,2012,1593,3.2,tt1588886

Sharon Stone,nm0000232,The Laundromat,2019,45084,6.3,tt5865326

Quentin Tarantino,nm0000233,Once Upon a Time... In Hollywood,2019,569358,7.6,tt7131622

Charlize Theron,nm0000234,The Old Guard,2020,131931,6.6,tt7556122

Uma Thurman,nm0000235,The War with Grandpa,2020,13282,5.6,tt4532038

Jennifer Tilly,nm0000236,7 Days to Vegas,2019,599,5.6,tt6840554

John Travolta,nm0000237,The Fanatic,2019,7423,4.1,tt7869070

Shannon Tweed,nm0000238,Wish You Were Dead,2001,388,4.9,tt0209486

Liv Tyler,nm0000239,Ad Astra,2019,202998,6.5,tt2935510

Skeet Ulrich,nm0000240,Escape Room,2017,2886,4.3,tt5748392

Jean-Claude Van Damme,nm0000241,We Die Young,2019,3388,5.3,tt7903530

Mark Wahlberg,nm0000242,Spenser Confidential,2020,72796,6.2,tt8629748

Denzel Washington,nm0000243,The Little Things,2021,51012,6.3,tt10016180

Sigourney Weaver,nm0000244,My Salinger Year,2020,998,6.3,tt2222052

Robin Williams,nm0000245,Absolutely Anything,2015,40195,6,tt1727770

Bruce Willis,nm0000246,Cosmic Sin,2021,3895,2.5,tt11762434

John Woo,nm0000247,Beginning of the Great Revival,2011,5936,2.9,tt1699513

James Woods,nm0000249,Bling,2016,647,4.5,tt5161658

Renee Zellweger,nm0000250,Judy,2019,42464,6.8,tt7549996

Isabelle Adjani,nm0000254,The World Is Yours,2018,3771,6.4,tt6892462

Ben Affleck,nm0000255,Zack Snyder's Justice League,2021,242474,8.2,tt12361974

Jenny Agutter,nm0000256,Sometimes Always Never,2018,2106,6.3,tt5068162

Alan Alda,nm0000257,Marriage Story,2019,254196,7.9,tt7653254

Stephanie Zimbalist,nm0000258,Hamlet's Ghost,2015,170,5.4,tt2224219

Joan Allen,nm0000260,Room,2015,377583,8.1,tt3170832

Karen Allen,nm0000261,Colewell,2019,363,6.3,tt9275046

Nancy Allen,nm0000262,Secret of the Andes,1998,223,5.6,tt0144597

Kirstie Alley,nm0000263,Accidental Love,2015,7897,4.1,tt1137470

Pedro Almodovar,nm0000264,Bad Education,2004,56143,7.4,tt0275491

Robert Altman,nm0000265,Endless Love,1981,7415,5,tt0082329

Ursula Andress,nm0000266,Cremaster 5,1997,674,6.5,tt0118898

Julie Andrews,nm0000267,Aquaman,2018,386990,6.9,tt1477834

Ann-Margret,nm0000268,Going in Style,2017,77746,6.6,tt2568862

Gabrielle Anwar,nm0000270,The Last Summer,2019,11491,5.6,tt7957694

Anne Archer,nm0000271,Trafficked,2017,1317,5.7,tt1720621

Alan Arkin,nm0000273,Spenser Confidential,2020,72796,6.2,tt8629748

